Allanblackia parviflora; Vegetable tallow tree; Height: 20m, growing fast. Hardiness: 10-12. Light: semi-shade or full sun. Water preference: moist.; Ouotera; Food forest; 10
Allanblackia stuhlmannii; Mkani; Height: 35m, growing at a medium rate. Hardiness: 10-12. Light: full sun. Water preference: moist.; Msambo; Food forest; 10
Allocasuarina littoralis; Black She Oak; Height: 8m, growing fast. Hardiness: 9-11. Light: full sun. Water preference: moist.; Bull Oak, Wayetuck; uncategorised; 9
Alnus acuminata; Alder; Height: 25m, growing fast. Hardiness: 10-12. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 10
Alnus cordata; Italian Alder; Height: 25m, growing fast. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 5
Alnus glutinosa; Alder; Height: 25m, growing fast. Hardiness: 3-7. Light: semi-shade or full sun. Water preference: unknown moisture.; European alder , Common Alder, Black Alder; uncategorised; 3
Alnus hirsuta; ; Height: 18m. Hardiness: 3-7. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 3
Alnus incana; Grey Alder; Height: 18m, growing fast. Hardiness: 2-6. Light: semi-shade or full sun. Water preference: unknown moisture.; Speckled alder, Thinleaf alder, White Alder; uncategorised; 2
Alnus japonica; Japanese Alder; Height: 22m, growing fast. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 4
Alnus jorullensis; Mexican alder; Height: 25m, growing fast. Hardiness: 7-12. Light: semi-shade or full sun. Water preference: unknown moisture.; Evergreen Alder; uncategorised; 7
Alnus maritima; Seaside Alder; Height: 9m, growing at a medium rate. Hardiness: 3-7. Light: full sun. Water preference: unknown moisture.; Beach Alder; uncategorised; 3
Alnus maximowiczii; ; Height: 9m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 4
Alnus nepalensis; Nepalese Alder; Height: 22m, growing fast. Hardiness: 8-11. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 8
Alnus nitida; West Himalayan Alder; Height: 30m. Hardiness: 7-10. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 7
Alnus rhombifolia; White Alder; Height: 12m, growing fast. Hardiness: 8-11. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 8
